Reference, Value, Footprint, Datasheet
U3,ESP-13-WROOM-02,wroom02:ESP-13-WROOM-02,
P2,USB_A,wroom02:uUSB_B_Receptacle,
Y1,12MHz,wroom02:smd_xtal,
C3,10u,Capacitors_SMD:C_1206,
C1,22,Capacitors_SMD:C_0201,
C2,22,Capacitors_SMD:C_0201,
R3,10K,Resistors_SMD:R_0201,
R4,10K,Resistors_SMD:R_0201,
R9,10K,Resistors_SMD:R_0201,
R7,10K,Resistors_SMD:R_0201,
R6,10K,Resistors_SMD:R_0201,
R5,10K,Resistors_SMD:R_0201,
C9,470,Capacitors_SMD:C_0805,
C8,100u,Capacitors_Tantalum_SMD:TantalC_SizeS_EIA-3216,
C6,10u,Capacitors_SMD:C_1206,
C4,100u,Capacitors_Tantalum_SMD:TantalC_SizeS_EIA-3216,
U1,CH340G,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,
SW1,Flash,Buttons_Switches_SMD:SW_SPST_B3U-1000P,
SW2,Reset,Buttons_Switches_SMD:SW_SPST_B3U-1000P,
R8,10K,Resistors_SMD:R_0201,
P1,THT_Male_P_1x15,Pin_Headers:Pin_Header_Straight_1x15,
P3,THT_Male_P_1x15,Pin_Headers:Pin_Header_Straight_1x15,
R1,220K(1%),Resistors_SMD:R_0402,
R2,100K(1%),Resistors_SMD:R_0402,
U2,LM3940IMP-3.3,TO_SOT_Packages_SMD:SOT-223,
C7,47u,Capacitors_SMD:C_1210,
C5,0.47u,Capacitors_SMD:C_1206,
P4,POWER_5V,Connectors_JST:JST_PH_B2B-PH-K_02x2.00mm_Straight,
D1,IN4007/M7(DO-214AC),Diodes_SMD:DO-214AB,
CON1,Micro_SD_Card,wroom02:MICROSD,
